*NSYNC,Bye Bye Bye,Pop,2000s,2000,"Just dance, Rage on",,Easy,Baritone
2Pac,California Love (feat. Roger Troutman and Dr. Dre),Rap/Hip hop,90s,1995,"Swagger, Just dance",,Medium,Bass
3 Doors Down,Kryptonite,Pop,90s,1999,Rage on,,Medium,Baritone
4 Non Blondes,What’s Up?,Pop,90s,1992,"Swagger, Bare your soul, Rage on",,Easy,Alto
a-ha,Take on Me,Pop,80s,1985,"Get happy, Just dance",,Hard,Tenor
Aaliyah,Are You That Somebody,R and B,90s,1998,"Swagger, Just dance",,Hard,Mezzo
ABBA,Dancing Queen,Pop,70s,1976,"Just dance, Get happy",,Easy,Mezzo
ABBA,I Have A Dream,Rock,70s,1979,Get happy,Group,Easy,Mezzo
ABBA,The Winner Takes It All,Pop,80s,1981,Bare your soul,,Medium,Mezzo
ABBA,Mamma Mia,Stage and Screen,70s,1975,"Get happy, Just dance",,Medium,Mezzo
AC/DC,Highway to Hell,Rock,70s,1979,"Rage on, Swagger",,Medium,Baritone
Adele,Someone Like You,Pop,2010s and beyond,2011,Bare your soul,,Hard,Mezzo
Adele,Rolling in the Deep,Pop,2010s and beyond,2011,"Bare your soul, Rage on",,Hard,Mezzo
Adele,Skyfall,Pop,2010s and beyond,2012,Bare your soul,,Medium,Mezzo
Aerosmith,Cryin’,Rock,90s,1992,"Rage on, Bare your soul",,Medium,Tenor
Aerosmith,Dream On,Rock,70s,1973,Bare your soul,,Hard,Tenor
Al Green,Let’s Stay Together,R and B,70s,1971,"Get happy, Bare your soul",,Hard,Tenor
Alanis Morissette,You Oughta Know,Pop,90s,1995,"Rage on, Swagger",,Medium,Alto
Alicia Keys,If I Ain’t Got You,R and B,2000s,2003,"Get happy, Bare your soul",,Hard,Mezzo
Amy Winehouse,You Know I’m No Good,R and B,2000s,2006,Swagger,,Easy,Alto
Amy Winehouse,Back To Black,Pop,2000s,2006,Bare your soul,,Medium,Alto
Amy Winehouse,Rehab,R and B,2000s,2006,Just dance,,Easy,Mezzo
Annie Lennox,No More I Love You’s,Pop,90s,1995,Bare your soul,,Medium,Mezzo
Aqua,Barbie Girl,Pop,90s,1997,"Just dance, Get happy",Duet,Easy,Soprano
Aretha Franklin,(You Make Me Feel Like) A Natural Woman,R and B,60s and earlier,1968,"Swagger, Get happy",,Medium,Soprano
Aretha Franklin,Respect,Pop,60s and earlier,1967,"Swagger, Get happy",,Hard,Soprano
Aretha Franklin,Chain of Fools,R and B,60s and earlier,1968,Swagger,,Medium,Mezzo
Audioslave,Like a Stone,Rock,2000s,2002,"Rage on, Bare your soul",,Easy,Tenor
Auli’i Cravalho (Children’s),How Far I’ll Go,Stage and Screen,2010s and beyond,2016,"Bare your soul, Swagger",,Medium,Soprano
Avril Lavigne,I’m with You,Rock,2000s,2002,Bare your soul,,Medium,Soprano
Avril Lavigne,Sk8er Boi,Rock,2000s,2002,"Swagger, Rage on",,Medium,Mezzo
Avril Lavigne,My Happy Ending,Rock,2000s,2004,Rage on,,Medium,Soprano
AWOLNATION,Sail,Rock,2010s and beyond,2010,Rage on,,Medium,Tenor
Backstreet Boys,I Want It That Way,Pop,2010s and beyond,2011,Get happy,,Easy,Baritone
Barbara Lynn,You’ll Lose A Good Thing,R and B,60s and earlier,1962,"Swagger, Bare your soul",,Easy,Mezzo
Barbra Streisand,The Way We Were,Pop,70s,1973,Bare your soul,,Hard,Mezzo
Barry White,"Can’t Get Enough Of Your Love, Babe",R and B,70s,1974,"Just dance, Get happy",,Medium,Bass
Barry White,"Never, Never Gonna Give Ya Up",R and B,70s,1973,"Just dance, Get happy",,Medium,Bass
Barry White,"You’re The First, The Last, My Everything",Pop,70s,1974,"Get happy, Just dance",,Medium,Baritone
Becky G,Becky from the Block,Pop,2010s and beyond,2013,"Swagger, Just dance",,Hard,Alto
Bell Biv DeVoe,Poison,R and B,90s,1990,"Just dance, Swagger",,Easy,Baritone
Ben E. King,Stand By Me,R and B,60s and earlier,1961,Get happy,,Easy,Baritone
Ben Platt and Original Broadway Cast of Dear Evan Hansen,Waving Through A Window,Stage and Screen,2010s and beyond,2016,Bare your soul,,Hard,Tenor
Benjamin Bratt (Children’s),Remember Me (From Coco),Stage and Screen,2010s and beyond,2017,Bare your soul,,Hard,Tenor
Beyoncé,Halo,R and B,2000s,2008,Bare your soul,,Hard,Soprano
Beyoncé,Drunk In Love,R and B,2010s and beyond,2013,Swagger,,Hard,Soprano
Beyoncé,Irreplaceable,R and B,2000s,2006,"Rage on, Swagger",,Hard,Soprano
Big Brother and The Holding Company and Janis Joplin,Piece of My Heart,Rock,60s and earlier,1968,Rage on,,Easy,Mezzo
